latitude,longitude,price,beds,baths,sq_feet,cats,dogs,nearestSchool,nearestPolice,restaurantCount,cemeteryCount,healthCareCount,communityCentreCount,placeOfWorshipCount,leisureCount,shopCount,tourismCount,lease_term_12 months,lease_term_6 months,lease_term_Long Term,lease_term_Negotiable,lease_term_Short Term,lease_term_months,furnishing_Furnished,furnishing_Negotiable,furnishing_Unfurnished,"furnishing_Unfurnished, Negotiable",type_Apartment,type_Basement,type_Condo Unit,type_Duplex,type_House,type_Loft,type_Main Floor,type_Mobile,type_Room For Rent,type_Townhouse,type_Vacation Home,smoking_Negotiable,smoking_Non-Smoking,smoking_Smoke Free Building,smoking_Smoking Allowed,latitude_standardized,longitude_standardized,beds_standardized,baths_standardized,sq_feet_standardized,nearestSchool_standardized,nearestPolice_standardized,restaurantCount_standardized,cemeteryCount_standardized,healthCareCount_standardized,placeOfWorshipCount_standardized,leisureCount_standardized,shopCount_standardized,tourismCount_standardized
51.2631292,-114.0411654,<2000,2,1.0,900,0,0,4.951448846179062,11.656111926496614,2,0,3,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.5296430619241057,-0.3659177240635975,0.011428663462756623,-0.7585954733562923,-0.19332744348770758,0.27630973368586687,0.19442670923037914,-0.6752116559114341,-0.012317550292698928,-0.7479029135347699,-0.7396472884231193,-0.710695656401211,-0.6863551234573142,-0.5675575997629827
51.2519353,-114.0137782,>=2000,3,2.5,1600,1,1,5.714020806911844,10.948089799380462,2,0,3,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,-0.5381969330354872,-0.323880853797418,0.989692571034557,1.2320758331697816,1.0439521043264637,0.43678139096066343,0.15115409646079936,-0.6752116559114341,-0.012317550292698928,-0.7479029135347699,-0.7396472884231193,-0.710695656401211,-0.6863551234573142,-0.5675575997629827
51.270215,-114.031145,>=2000,1,1.0,602,0,0,3.950077667650441,12.56166119373043,1,0,1,0,0,2,3,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.524228414667921,-0.3505373180777567,-0.9668352441090436,-0.7585954733562923,-0.720055022414312,0.06558641727741961,0.24977170663094372,-0.6846662601300348,-0.012317550292698928,-0.9663817214287386,-0.7396472884231193,-0.5547325788444293,-0.5586588941707124,-0.5675575997629827
51.270215,-114.031145,>=2000,2,2.0,886,0,0,3.950077667650441,12.56166119373043,1,0,1,0,0,2,3,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.524228414667921,-0.3505373180777567,0.011428663462756623,0.5685187309944237,-0.218073034443991,0.06558641727741961,0.24977170663094372,-0.6846662601300348,-0.012317550292698928,-0.9663817214287386,-0.7396472884231193,-0.5547325788444293,-0.5586588941707124,-0.5675575997629827
51.291531,-114.0420409,>=2000,3,1.5,1086,1,1,2.560027819114938,14.771465074357486,1,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,-0.5079396934349133,-0.36726153722881055,0.989692571034557,-0.09503837118093428,0.13543540778862936,-0.2269284067330549,0.38482961507877117,-0.6846662601300348,-0.012317550292698928,-0.8571423174817543,-0.7396472884231193,-0.5547325788444293,-0.7502032381006152,-0.5675575997629827
51.2496714,-114.0309421,>=2000,2,2.5,1265,1,1,6.130130077159845,10.343304467227709,2,0,3,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,-0.5399269028234142,-0.3502258849638705,0.011428663462756623,1.2320758331697816,0.4518254635868246,0.5243452506912754,0.11419106877469651,-0.6752116559114341,-0.012317550292698928,-0.7479029135347699,-0.7396472884231193,-0.710695656401211,-0.6863551234573142,-0.5675575997629827
51.289386,-114.0213568,<2000,1,1.0,667,1,1,1.7231998703800788,14.790527157457284,11,0,3,0,0,3,2,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.5095788052309719,-0.33551331805077167,-0.9668352441090436,-0.7585954733562923,-0.6051647786887103,-0.40302610596960975,0.3859946438384214,-0.590120217944027,-0.012317550292698928,-0.7479029135347699,-0.7396472884231193,-0.39876950128764754,-0.6225070088140132,-0.3574490769569942
51.289386,-114.0213568,<2000,1,1.0,669,1,1,1.7231998703800788,14.790527157457284,11,0,3,0,0,3,2,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.5095788052309719,-0.33551331805077167,-0.9668352441090436,-0.7585954733562923,-0.6016296942663841,-0.40302610596960975,0.3859946438384214,-0.590120217944027,-0.012317550292698928,-0.7479029135347699,-0.7396472884231193,-0.39876950128764754,-0.6225070088140132,-0.3574490769569942
51.289386,-114.0213568,<2000,1,1.0,680,1,1,1.7231998703800788,14.790527157457284,11,0,3,0,0,3,2,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.5095788052309719,-0.33551331805077167,-0.9668352441090436,-0.7585954733562923,-0.58218672994359,-0.40302610596960975,0.3859946438384214,-0.590120217944027,-0.012317550292698928,-0.7479029135347699,-0.7396472884231193,-0.39876950128764754,-0.6225070088140132,-0.3574490769569942
51.289386,-114.0213568,<2000,2,2.0,939,1,1,1.7231998703800788,14.790527157457284,11,0,3,0,0,3,2,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.5095788052309719,-0.33551331805077167,0.011428663462756623,0.5685187309944237,-0.1243932972523466,-0.40302610596960975,0.3859946438384214,-0.590120217944027,-0.012317550292698928,-0.7479029135347699,-0.7396472884231193,-0.39876950128764754,-0.6225070088140132,-0.3574490769569942
